id,lundi,mardi,mercredi,jeudi,vendredi,samedi,dimanche,dateDebut,dateFin
19,0,0,1,0,0,0,0,20140618,20140702
17,0,1,0,0,0,0,0,20140617,20140701
18,0,1,0,0,0,0,0,20140617,20140701
15,0,1,0,0,0,0,0,20140617,20140701
16,0,1,0,0,0,0,0,20140617,20140701
13,1,0,0,0,0,0,0,20140616,20140630
14,1,0,0,0,0,0,0,20140616,20140630
11,1,0,0,0,0,0,0,20140616,20140630
12,1,0,0,0,0,0,0,20140616,20140630
21,0,0,1,0,0,0,0,20140618,20140702
20,0,0,1,0,0,0,0,20140618,20140702
22,0,0,1,0,0,0,0,20140618,20140702
23,0,0,1,0,0,0,0,20140618,20140702
24,0,0,0,0,0,1,0,20140621,20140705
25,0,0,0,0,0,1,0,20140621,20140705
26,0,0,0,0,1,0,0,20140620,20140704
27,0,0,0,0,1,0,0,20140620,20140704
28,0,0,0,0,1,0,0,20140620,20140704
29,0,0,0,0,1,0,0,20140620,20140704
3,0,0,0,0,0,0,1,20140615,20140622
2,0,0,0,0,0,0,1,20140629,20140629
10,0,0,0,1,0,0,0,20140619,20140703
1,0,0,0,0,0,1,0,20140621,20140621
7,0,0,0,1,0,0,0,20140619,20140703
30,0,0,0,0,1,0,0,20140620,20140704
6,0,0,0,1,0,0,0,20140619,20140703
5,0,0,0,0,0,0,1,20140615,20140706
4,0,0,0,0,0,0,1,20140706,20140706
9,0,0,0,1,0,0,0,20140619,20140703
8,0,0,0,1,0,0,0,20140619,20140703
31,1,1,1,0,0,0,0,20140616,20140706
32,0,0,0,1,1,1,0,20140616,20140706
33,0,0,0,0,0,0,1,20140615,20140706
